城市,教育支出_z,科技支出_z,注销_z,风险评分,聚类类别,动态预警,风险评分增长率,注销增长率,最新风险评分,残差,风险等级
普洱市,2.220446049250313e-16,2.9605947323337506e-16,0.0,-4.9343245538895844e-17,0,橙色预警,3.671002778674371,1.5714285714285716,1.986947370132464,-7.894919286223336e-15,高风险
运城市,-6.167905692361981e-16,3.4540271877227093e-16,0.0,4.9343245538895844e-17,2,橙色预警,32.54448978750147,2.9782608695652173,1.9317898069329835,-1.105288700071267e-14,高风险
辽源市,0.0,1.2335811384723961e-17,0.0,-4.9343245538895844e-17,1,橙色预警,6.594956469636326,3.0,2.06600469488301,-1.578983857244667e-15,高风险
昆明市,4.810966440042345e-16,1.4802973661668753e-16,0.0,-9.868649107779169e-17,0,橙色预警,2.18876956735856,1.0586124401913874,2.162109949063876,0.0,高风险
本溪市,1.2335811384723961e-15,-3.0839528461809905e-17,0.0,-9.868649107779169e-17,0,无预警,1.7916026715152067,1.0,2.1793267125173816,-7.894919286223335e-16,高风险
葫芦岛市,2.6521994477156517e-16,-4.9343245538895844e-17,0.0,2.4671622769447922e-17,0,红色预警,0.9915282387358191,0.5357142857142858,1.9709993332783817,-7.894919286223335e-16,高风险
兰州市,2.220446049250313e-16,2.4671622769447924e-16,0.0,-4.9343245538895844e-17,0,橙色预警,2.3683814781341157,1.2195121951219514,1.9598768941998548,6.315935428978668e-15,高风险
营口市,3.577385301569949e-16,-1.2335811384723961e-17,-9.868649107779169e-17,-9.868649107779169e-17,0,无预警,2.0505510526050195,0.8269230769230769,1.9327196373179725,-2.7632217501781674e-15,高风险
聊城市,-2.713878504639272e-16,4.9343245538895844e-17,0.0,0.0,1,无预警,1.1751213148294144,0.8282208588957056,1.920354038020059,-6.315935428978668e-15,高风险
柳州市,-7.524844944681616e-16,0.0,0.0,9.868649107779169e-17,2,红色预警,2.1638957177913736,0.904109589041096,2.0679827224620837,-7.894919286223336e-15,高风险
绥化市,7.401486830834377e-16,-7.401486830834377e-17,0.0,0.0,0,红色预警,1.9579243733073572,1.4444444444444446,2.02792902776903,-4.736951571734001e-15,高风险
大连市,1.1842378929335002e-15,7.401486830834377e-17,-4.9343245538895844e-17,-1.7270135938613546e-16,0,无预警,1.3875635673438915,0.7256317689530687,1.9513995875908703,-3.157967714489334e-15,高风险
秦皇岛市,-1.9737298215558337e-16,-3.700743415417188e-17,0.0,4.9343245538895844e-17,1,橙色预警,2.5348167466564093,1.4318181818181817,2.0231643844806726,-8.68441121484567e-15,高风险
大同市,-1.973729821555834e-15,-4.9343245538895844e-17,0.0,2.4671622769447924e-16,2,橙色预警,9.343174395770168,3.4705882352941178,2.1042515270842856,-7.105427357601002e-15,高风险
毕节市,1.2335811384723962e-16,3.700743415417188e-17,0.0,-2.4671622769447922e-17,1,红色预警,2.5358486921697097,1.3333333333333335,1.958262603404701,-1.973729821555834e-15,高风险
双鸭山市,0.0,-1.5419764230904953e-17,0.0,0.0,1,橙色预警,-28.090483263227203,4.0,2.0702807697834134,-3.157967714489334e-15,高风险
白山市,7.154770603139898e-16,-9.868649107779169e-17,-4.9343245538895844e-17,-9.868649107779169e-17,0,橙色预警,10.654822259842435,3.0,2.08644285591024,0.0,高风险
玉溪市,6.322103334671031e-16,-4.9343245538895844e-17,4.9343245538895844e-17,0.0,0,橙色预警,2.685468939636755,1.3529411764705883,1.9201925004032043,6.315935428978668e-15,高风险
吉林市,-1.0238723449320887e-15,-8.635067969306773e-17,0.0,9.868649107779169e-17,2,红色预警,1.9579164566100702,1.725,2.2413918586061476,-3.947459643111668e-15,高风险
滨州市,-1.2335811384723962e-16,-1.1102230246251565e-16,0.0,4.9343245538895844e-17,1,橙色预警,2.5490021653305606,1.1774193548387095,1.9074379849622751,-3.157967714489334e-15,高风险
湛江市,-6.661338147750939e-16,4.9343245538895844e-17,0.0,7.401486830834377e-17,2,无预警,1.3139020575115143,0.8888888888888888,1.9441128682387534,-1.105288700071267e-14,高风险
佳木斯市,6.41462192005646e-16,-1.2335811384723961e-17,0.0,-9.868649107779169e-17,0,橙色预警,57.53278470296452,2.7142857142857144,1.926950533578042,-1.578983857244667e-15,高风险
河源市,-2.590520390792032e-16,1.2335811384723962e-16,0.0,0.0,1,红色预警,2.0482398562762616,1.2857142857142856,2.0546719406300467,7.894919286223335e-16,高风险
廊坊市,-4.810966440042345e-16,-9.868649107779169e-17,0.0,4.9343245538895844e-17,2,无预警,1.6999428216479848,0.8736263736263736,1.9036176663239108,-1.2631870857957336e-14,高风险
乌鲁木齐市,-4.0091387000352876e-16,-1.2335811384723962e-16,0.0,9.868649107779169e-17,1,红色预警,1.9261536092512381,1.576,2.2539097337776206,3.947459643111668e-15,高风险
临汾市,-4.934324553889585e-16,2.4671622769447922e-17,-9.868649107779169e-17,0.0,2,橙色预警,3.6579139035825863,2.0588235294117645,2.0136943864982433,-1.5000346643824338e-14,高风险
阳江市,3.20731096002823e-16,1.2335811384723961e-17,-9.868649107779169e-17,-7.401486830834377e-17,0,橙色预警,1.9172529989196074,1.1428571428571428,1.9175848659992967,5.526443500356335e-15,高风险
锦州市,7.031412489292658e-16,-7.709882115452476e-17,4.9343245538895844e-17,0.0,0,橙色预警,3.2256929440548214,1.263157894736842,1.9673160939616805,-7.894919286223335e-16,高风险
鹤岗市,5.982868521591122e-16,-9.868649107779169e-17,4.9343245538895844e-17,0.0,0,橙色预警,7795.665444321365,6.5,1.9317757834769973,-1.578983857244667e-15,高风险
金昌市,-2.4671622769447924e-16,-1.2335811384723962e-16,4.9343245538895844e-17,2.4671622769447922e-17,1,橙色预警,-10.971163905174006,4.333333333333333,1.9494753322333342,-3.947459643111668e-15,高风险
黑河市,2.713878504639272e-16,-2.4671622769447922e-17,0.0,0.0,0,橙色预警,-28.377417983063783,5.0,2.1809590491847426,3.157967714489334e-15,高风险
韶关市,2.220446049250313e-16,9.868649107779169e-17,-9.868649107779169e-17,-9.868649107779169e-17,0,红色预警,1.6627654229359639,1.0,1.9836733701220421,-7.105427357601002e-15,高风险
齐齐哈尔市,5.258139602738588e-16,-7.401486830834377e-17,0.0,-4.9343245538895844e-17,0,橙色预警,-292.0851722565344,5.6,2.0836570552048186,0.0,高风险
遵义市,5.427757009278544e-16,-1.7270135938613546e-16,0.0,0.0,0,橙色预警,3.19005746229998,1.8250000000000002,2.0452955006785345,5.921189464667502e-15,高风险
安顺市,0.0,1.1102230246251565e-16,0.0,0.0,1,橙色预警,5.2996468992117265,1.9333333333333331,1.918089476924028,-7.105427357601002e-15,高风险
通化市,0.0,1.4802973661668753e-16,0.0,0.0,1,橙色预警,5.098450428652917,2.4,2.4935940834992096,-2.3684757858670005e-15,高风险
三亚市,-2.4671622769447924e-16,4.9343245538895844e-17,0.0,0.0,1,黄色预警,0.09652524939744378,0.12202380952380953,1.1849219169885206,0.0,低风险
沈阳市,-6.41462192005646e-16,1.4802973661668753e-16,-2.4671622769447922e-17,0.0,2,无预警,0.3935476428431324,0.38132295719844356,1.1557087028739963,-1.578983857244667e-14,低风险
平凉市,-2.4671622769447922e-17,-1.2335811384723962e-16,0.0,6.167905692361981e-17,1,无预警,-0.611210133695901,-0.4,0.6288699074902407,-2.3684757858670005e-15,低风险
永州市,-9.868649107779169e-17,-1.2335811384723962e-16,7.401486830834377e-17,3.700743415417188e-17,1,无预警,-0.15763819233633491,-0.06779661016949157,0.9633888806037142,-3.947459643111668e-15,低风险
广元市,4.6876083261951055e-16,4.3175339846533865e-16,2.4671622769447922e-17,-4.9343245538895844e-17,0,无预警,-0.0688313419812625,0.04878048780487809,1.020605637578087,-7.894919286223336e-15,低风险
广安市,3.4540271877227093e-16,7.401486830834377e-17,-4.9343245538895844e-17,-7.401486830834377e-17,0,无预警,-0.677853306878428,-0.34883720930232553,0.28121250709005585,-1.578983857244667e-15,低风险
河池市,0.0,9.868649107779169e-17,2.4671622769447922e-17,4.9343245538895844e-17,1,无预警,0.1518182302491009,0.10344827586206895,1.2430659291640453,-6.315935428978668e-15,低风险
汉中市,-8.141635513917814e-16,0.0,0.0,8.635067969306773e-17,2,无预警,-0.40899801981352846,-0.06666666666666665,0.3462969361578717,-7.894919286223336e-15,低风险
怀化市,-3.9474596431116675e-16,-9.868649107779169e-17,-2.4671622769447922e-17,4.9343245538895844e-17,1,无预警,-0.245521589946754,-0.125,1.0373779591840775,-8.68441121484567e-15,低风险
广州市,-2.713878504639272e-16,1.7270135938613546e-16,4.9343245538895844e-17,6.167905692361981e-17,1,无预警,0.04665835189127798,0.02753149790013998,0.8070535982506992,-5.0527483431829344e-14,低风险
株洲市,-2.220446049250313e-16,-2.4671622769447922e-17,2.4671622769447922e-17,7.401486830834377e-17,1,黄色预警,0.25301584371490793,0.1594202898550725,1.260824573308167,-3.947459643111668e-15,低风险
成都市,1.4802973661668753e-16,-2.4671622769447922e-17,7.401486830834377e-17,3.700743415417188e-17,1,无预警,0.01618086356148174,0.034482758620689724,0.7884741873226683,1.5158245029548803e-13,低风险
延安市,-7.894919286223335e-16,-3.0839528461809905e-17,2.4671622769447922e-17,8.635067969306773e-17,2,无预警,-0.2240392346620299,-0.06521739130434778,0.7749983817089005,-9.473903143468002e-15,低风险
松原市,8.881784197001252e-16,7.401486830834377e-17,-4.9343245538895844e-17,-1.4802973661668753e-16,0,无预警,-0.15603836323906772,0.08695652173913038,1.2147945582997175,-6.315935428978668e-15,低风险
杭州市,-7.401486830834377e-17,-1.7270135938613546e-16,0.0,0.0,1,黄色预警,0.5090536942544686,0.31862745098039214,1.2542900943762543,3.789561257387201e-14,低风险
来宾市,-2.4671622769447924e-16,9.868649107779169e-17,2.4671622769447922e-17,2.4671622769447922e-17,1,无预警,-0.404572521976602,-0.18181818181818177,0.7998994201059679,-1.578983857244667e-15,低风险
张掖市,-3.4540271877227093e-16,9.868649107779169e-17,4.9343245538895844e-17,7.401486830834377e-17,1,无预警,-0.2563719529785905,-0.09999999999999998,1.0203051324189496,-5.526443500356335e-15,低风险
德阳市,-5.674473236973022e-16,1.4802973661668753e-16,0.0,3.0839528461809905e-17,2,无预警,-0.6865840473636701,-0.3291139240506329,0.3663028500239452,-6.315935428978668e-15,低风险
景德镇市,9.868649107779169e-17,9.868649107779169e-17,-4.9343245538895844e-17,-1.2335811384723962e-16,1,黄色预警,0.1998004044664965,0.15384615384615374,1.226746967685522,3.947459643111668e-15,低风险
泉州市,7.401486830834377e-17,-2.9605947323337506e-16,-2.4671622769447922e-17,0.0,1,无预警,-0.06737288697963895,0.040598290598290676,0.6659769109086727,-1.0263395072090336e-14,低风险
攀枝花市,-1.315691383001965e-15,2.4671622769447924e-16,2.4671622769447922e-17,1.356939252319636e-16,2,无预警,-0.3333372575182989,-0.17647058823529416,0.7155010945981123,-6.315935428978668e-15,低风险
榆林市,0.0,7.401486830834377e-17,-2.4671622769447922e-17,-2.4671622769447922e-17,1,无预警,0.3290287978986912,0.13978494623655924,0.7379114857223381,-9.473903143468002e-15,低风险
益阳市,1.9737298215558337e-16,9.868649107779169e-17,2.4671622769447922e-17,-3.700743415417188e-17,0,无预警,-0.5809996305919884,-0.3414634146341463,0.6321908266713187,1.578983857244667e-15,低风险
泸州市,1.4802973661668753e-16,-2.4671622769447924e-16,0.0,-2.4671622769447922e-17,1,无预警,0.5036318731937182,0.1692307692307693,1.1068571715999607,-1.578983857244667e-15,低风险
淮安市,1.7270135938613546e-16,0.0,0.0,0.0,1,黄色预警,0.16765028622607114,0.2546583850931676,1.2153111950279079,-3.9474596431116675e-16,低风险
黄石市,-1.2335811384723962e-16,0.0,-4.9343245538895844e-17,-2.4671622769447922e-17,1,无预警,0.1649228001958134,0.16417910447761197,1.2766972264254721,-3.157967714489334e-15,低风险
鹰潭市,-1.9737298215558337e-16,0.0,7.401486830834377e-17,9.868649107779169e-17,1,黄色预警,0.20229168383923057,0.16666666666666674,1.2987700000565847,-1.578983857244667e-15,低风险
鸡西市,6.908054375445419e-16,-9.868649107779169e-17,-7.401486830834377e-17,-1.2335811384723962e-16,0,无预警,-0.32652095553244587,-0.19999999999999996,1.012145092578963,-3.157967714489334e-15,低风险
雅安市,-4.194175870806147e-16,-2.4671622769447922e-17,7.401486830834377e-17,1.1102230246251565e-16,2,无预警,2.0142293201039205,0.33333333333333326,0.6536854625417011,-3.947459643111668e-15,低风险
长沙市,3.9474596431116675e-16,0.0,-7.401486830834377e-17,-9.868649107779169e-17,0,无预警,-0.11022480411759039,-0.048402255639097724,1.0878209539889587,-7.579122514774402e-14,低风险
铜川市,3.9474596431116675e-16,1.9737298215558337e-16,4.9343245538895844e-17,0.0,0,无预警,2.286488759399367,0.7222222222222223,0.5735063680912645,-1.578983857244667e-15,低风险
金华市,0.0,2.4671622769447924e-16,0.0,-4.9343245538895844e-17,1,黄色预警,0.1929140440272994,0.18333333333333335,1.1258831651719858,1.8947806286936004e-14,低风险
邵阳市,-3.20731096002823e-16,0.0,2.4671622769447922e-17,3.700743415417188e-17,1,无预警,-0.32462571569274545,-0.10909090909090913,0.9015721759504861,-1.105288700071267e-14,低风险
遂宁市,-5.674473236973022e-16,1.9737298215558337e-16,-2.4671622769447922e-17,4.3175339846533866e-17,2,无预警,-0.7184566590780666,-0.3157894736842105,0.2618105641306742,-4.736951571734001e-15,低风险
连云港市,1.2335811384723962e-16,3.577385301569949e-16,-4.9343245538895844e-17,-9.868649107779169e-17,1,无预警,-0.2733466792017666,-0.1435406698564593,1.1165406416163708,-1.578983857244667e-15,低风险
达州市,-6.41462192005646e-16,7.401486830834377e-16,0.0,2.4671622769447922e-17,2,无预警,-0.8094335852617073,-0.3125,0.1779031486709608,-9.473903143468002e-15,低风险
辽阳市,-1.7886926507849745e-16,4.9343245538895844e-17,-7.401486830834377e-17,-7.401486830834377e-17,1,无预警,-0.22513554553251913,-0.2222222222222222,1.1489648743767786,0.0,低风险
资阳市,2.220446049250313e-16,1.4802973661668753e-16,-7.401486830834377e-17,-9.868649107779169e-17,0,无预警,-0.18210937028669305,-0.09090909090909094,0.613758821291261,-4.736951571734001e-15,低风险
贵港市,5.921189464667501e-16,0.0,-2.4671622769447922e-17,-4.9343245538895844e-17,0,无预警,1.2625158639554037,0.5714285714285714,1.2247610390760404,-1.578983857244667e-15,低风险
西安市,-9.868649107779169e-17,-9.868649107779169e-17,-7.401486830834377e-17,-3.700743415417188e-17,1,无预警,-0.385178163089569,-0.16763714373276128,0.7451151422683765,-1.2631870857957337e-13,低风险
衡阳市,4.6876083261951055e-16,7.401486830834377e-17,-9.868649107779169e-17,-1.4802973661668753e-16,0,黄色预警,0.07120708745762161,0.11570247933884303,1.0659843673526113,7.894919286223335e-16,低风险
莆田市,1.4802973661668753e-16,0.0,2.4671622769447922e-17,0.0,1,无预警,0.44821870849344814,0.056657223796033884,0.9790914956597653,1.578983857244667e-15,低风险
芜湖市,2.9605947323337506e-16,-4.194175870806147e-16,2.4671622769447922e-17,2.4671622769447922e-17,0,无预警,-0.5363728169660796,-0.34094256259204714,0.7561275353698018,0.0,低风险
自贡市,9.868649107779169e-17,-9.868649107779169e-17,1.2335811384723961e-17,4.3175339846533866e-17,1,无预警,-0.6957170946559152,-0.4242424242424242,0.3221905210895388,-1.578983857244667e-15,低风险
绵阳市,0.0,-2.4671622769447922e-17,4.9343245538895844e-17,4.9343245538895844e-17,1,无预警,1.2616312162447185,0.47540983606557385,1.0142149406572103,2.3684757858670005e-15,低风险
绍兴市,9.868649107779169e-17,-1.4802973661668753e-16,0.0,2.4671622769447922e-17,1,黄色预警,0.05511924301877946,0.072072072072072,1.1363211222881116,-1.105288700071267e-14,低风险
福州市,-2.9605947323337506e-16,1.2335811384723962e-16,-1.2335811384723961e-17,4.9343245538895844e-17,1,无预警,-0.21927837182299925,-0.11477987421383651,0.5772855840596098,1.2631870857957336e-14,低风险
石嘴山市,-1.2335811384723962e-16,-1.2335811384723962e-16,-2.4671622769447922e-17,0.0,1,无预警,-0.42556639002405006,-0.2857142857142857,0.8259093478512551,-9.473903143468002e-15,低风险
巴中市,2.4671622769447924e-16,9.868649107779169e-17,-3.700743415417188e-17,-6.167905692361981e-17,0,无预警,-0.5895762310182106,-0.1923076923076923,0.27854436834346596,-4.736951571734001e-15,低风险
白银市,-1.2335811384723962e-16,-1.9737298215558337e-16,2.4671622769447922e-17,7.401486830834377e-17,1,无预警,-0.45730945280473845,-0.20833333333333337,0.8558163960844498,1.578983857244667e-15,低风险
玉林市,2.713878504639272e-16,0.0,-2.4671622769447922e-17,-4.9343245538895844e-17,0,黄色预警,0.16345381255754732,0.18181818181818188,1.1952027871556705,-1.578983857244667e-15,低风险
漳州市,2.220446049250313e-16,7.401486830834377e-17,-8.635067969306773e-17,-9.868649107779169e-17,0,无预警,-0.3877031631670693,-0.17845117845117842,0.5538784920844861,-1.578983857244667e-14,低风险
渭南市,8.018277400070575e-16,8.018277400070575e-16,-1.2335811384723961e-17,-1.356939252319636e-16,0,无预警,-0.47129227888933345,-0.22448979591836737,0.7232718631125182,1.578983857244667e-15,低风险
温州市,1.9737298215558337e-16,0.0,-4.9343245538895844e-17,-4.9343245538895844e-17,0,黄色预警,0.3552170178573322,0.23320158102766797,1.1224815201682319,9.473903143468002e-15,低风险
常州市,1.9737298215558337e-16,-2.4671622769447924e-16,9.868649107779169e-17,1.2335811384723962e-16,1,无预警,-0.11558846753698127,0.023622047244094446,1.097557914064092,2.4079503822981173e-14,低风险
龙岩市,2.713878504639272e-16,-1.3877787807814457e-16,7.401486830834377e-17,7.401486830834377e-17,0,无预警,-0.08480961976386148,-0.10582010582010581,0.7383151458458123,2.3684757858670005e-15,低风险
亳州市,-2.9605947323337506e-16,-1.7270135938613546e-16,6.1679056923619804e-18,3.0839528461809905e-17,1,无预警,-1.0196622780864653,-0.7738095238095238,-0.03933347080290489,-6.315935428978668e-15,低风险
乐山市,0.0,9.868649107779169e-17,4.9343245538895844e-17,2.4671622769447922e-17,1,无预警,-0.41236566854973045,-0.1578947368421053,0.6890438386754099,0.0,低风险
丽水市,-7.401486830834377e-17,7.401486830834377e-17,-7.401486830834377e-17,-4.9343245538895844e-17,1,无预警,0.9059585183078664,0.4722222222222223,1.230252412589011,-6.118562446823085e-15,低风险
