城市,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
七台河市,,,,,,,,,,,,,,,,3,6,7,13,18,26,46,70,92,114,136,158,180,202,224,246
三亚市,5.0,5.0,6.0,7.0,7.0,8.0,12.0,15.0,18.0,27.0,32.0,40.0,54.0,72.0,111.0,151,199,260,416,667,1941,4039,10187,12240,16197,19792,23387,26982,30577,34172,37767
三明市,4.0,4.0,5.0,6.0,8.0,12.0,13.0,14.0,14.0,19.0,26.0,34.0,45.0,60.0,77.0,104,147,178,287,398,594,849,1145,1459,1773,2087,2401,2715,3029,3343,3657
三门峡市,1.0,2.0,2.0,2.0,3.0,4.0,4.0,5.0,5.0,9.0,10.0,11.0,13.0,15.0,20.0,22,30,39,61,89,141,288,420,557,694,831,968,1105,1242,1379,1516
上海市,304.0,394.0,513.0,692.0,907.0,1119.0,1313.0,1499.0,1685.0,2004.0,2411.0,2919.0,3420.0,4059.0,5080.0,6249,7546,8966,11202,13811,22351,37339,51658,72082,92412,112773,133133,153494,173854,194215,214575
上饶市,2.0,2.0,2.0,3.0,3.0,7.0,8.0,12.0,17.0,20.0,26.0,32.0,44.0,57.0,91.0,132,163,225,287,371,833,1275,1702,2297,2890,3483,4076,4669,5262,5855,6448
东莞市,21.0,29.0,40.0,47.0,60.0,85.0,108.0,142.0,190.0,231.0,306.0,381.0,473.0,573.0,731.0,909,1182,1571,2141,2781,3672,6125,8625,11311,13994,16679,19363,22048,24732,27417,30101
东营市,5.0,11.0,17.0,23.0,29.0,34.0,41.0,47.0,53.0,63.0,72.0,92.0,107.0,127.0,185.0,253,345,439,549,695,953,1499,2105,2665,3225,3785,4345,4905,5465,6025,6585
中卫市,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,5.0,5.0,7.0,9.0,12.0,15,20,29,36,41,74,128,162,198,234,270,306,342,378,414,450
中山市,10.0,13.0,18.0,26.0,33.0,44.0,49.0,58.0,73.0,92.0,107.0,133.0,157.0,193.0,256.0,329,426,575,769,1013,1546,2657,3753,4894,6034,7175,8315,9456,10597,11737,12878
临汾市,3.0,4.0,6.0,7.0,8.0,9.0,9.0,10.0,13.0,14.0,18.0,21.0,24.0,32.0,43.0,68,93,115,153,201,279,537,810,1074,1338,1602,1866,2130,2394,2659,2923
临沂市,12.0,17.0,22.0,28.0,38.0,49.0,58.0,63.0,74.0,85.0,97.0,115.0,142.0,171.0,259.0,399,550,753,1053,1497,2565,4731,6572,8144,9719,11292,12865,14438,16012,17585,19158
临沧市,,,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,6.0,12.0,21.0,27,35,45,56,68,79,111,168,239,310,381,452,523,594,665,736
丹东市,7.0,7.0,11.0,13.0,15.0,17.0,17.0,19.0,20.0,24.0,28.0,34.0,40.0,47.0,55.0,69,75,92,115,139,216,326,381,470,552,634,716,798,880,962,1044
丽水市,6.0,6.0,8.0,11.0,15.0,17.0,18.0,19.0,21.0,27.0,39.0,45.0,53.0,65.0,77.0,99,126,176,235,311,597,907,1195,1484,1773,2062,2350,2639,2928,3217,3506
丽江市,2.0,2.0,2.0,3.0,5.0,5.0,6.0,6.0,6.0,6.0,8.0,8.0,10.0,12.0,14.0,21,29,40,55,63,85,134,198,284,370,456,542,628,714,800,886
乌兰察布市,,,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,4.0,6.0,7.0,10.0,14.0,17,29,48,75,104,125,190,261,376,488,601,714,827,940,1053,1166
乌海市,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,7.0,9.0,12.0,13.0,14.0,15.0,19.0,21,26,31,43,52,62,104,143,208,269,331,393,456,518,580,642
乌鲁木齐市,34.0,43.0,55.0,71.0,93.0,121.0,154.0,180.0,206.0,239.0,266.0,311.0,380.0,457.0,576.0,700,880,1063,1280,1591,2541,3878,4976,6656,8336,10016,11696,13376,15056,16736,18416
乐山市,2.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,6.0,7.0,7.0,10.0,17.0,21.0,37,42,58,79,107,142,230,326,465,604,743,882,1021,1160,1299,1438
九江市,3.0,4.0,5.0,9.0,10.0,11.0,12.0,13.0,18.0,24.0,30.0,42.0,49.0,59.0,88.0,121,168,221,279,381,803,1651,3077,4027,4987,5945,6902,7860,8817,9775,10733
云浮市,,,,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,6.0,9.0,9.0,12.0,15,19,29,41,55,84,166,214,286,352,419,487,554,622,689,757
亳州市,,,,,,1.0,1.0,2.0,2.0,3.0,5.0,8.0,10.0,15.0,21.0,28,47,66,97,129,170,422,854,1089,1328,1566,1804,2041,2279,2517,2755
伊春市,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,3,3,5,14,19,30,59,86,113,140,167,194,221,248,275
佛山市,45.0,51.0,61.0,79.0,108.0,125.0,152.0,178.0,198.0,242.0,298.0,364.0,433.0,537.0,691.0,850,1086,1401,1894,2528,3796,6666,8764,11657,14387,17161,19935,22709,25483,28257,31031
佳木斯市,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,10.0,11.0,12.0,13.0,14.0,17,26,35,42,49,71,126,216,349,482,615,748,881,1014,1147,1280
保定市,8.0,10.0,13.0,15.0,19.0,21.0,25.0,30.0,37.0,45.0,56.0,60.0,70.0,83.0,114.0,156,220,300,507,742,948,1202,1840,3459,5065,6676,8287,9898,11509,13121,14732
保山市,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,6.0,8.0,10.0,16,21,31,43,56,75,105,176,284,392,500,608,716,824,932,1040
信阳市,1.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,9.0,13.0,15.0,23.0,27.0,35.0,43.0,66,93,129,184,277,408,707,978,1303,1625,1948,2271,2594,2917,3241,3564
儋州市,,,,,,,,1.0,1.0,2.0,3.0,5.0,7.0,9.0,14.0,19,31,47,81,121,393,1084,2489,2668,3216,3760,4305,4850,5394,5939,6484
克拉玛依市,2.0,5.0,5.0,7.0,8.0,10.0,12.0,13.0,13.0,13.0,16.0,20.0,25.0,28.0,37.0,45,51,58,69,79,115,179,227,283,339,395,451,507,563,619,675
六安市,1.0,2.0,2.0,2.0,4.0,6.0,8.0,10.0,12.0,13.0,20.0,22.0,26.0,37.0,49.0,63,86,125,171,237,336,675,1326,1846,2369,2891,3413,3936,4458,4980,5502
六盘水市,,,,1.0,1.0,1.0,1.0,2.0,2.0,4.0,4.0,5.0,8.0,10.0,16.0,19,27,45,72,101,152,251,450,697,944,1191,1438,1685,1932,2179,2426
兰州市,43.0,55.0,67.0,83.0,112.0,131.0,169.0,201.0,238.0,288.0,353.0,416.0,482.0,540.0,690.0,847,1051,1276,1577,1925,2267,3292,4327,5959,7483,9044,10605,12166,13727,15288,16849
内江市,3.0,4.0,5.0,8.0,8.0,9.0,9.0,10.0,13.0,15.0,16.0,18.0,20.0,27.0,30.0,38,46,68,91,122,161,236,344,455,566,677,788,899,1010,1121,1232
包头市,3.0,7.0,10.0,13.0,16.0,19.0,25.0,31.0,35.0,44.0,54.0,64.0,75.0,93.0,130.0,171,217,267,341,421,527,767,1080,1425,1770,2115,2460,2805,3150,3495,3840
北京市,519.0,701.0,963.0,1278.0,1652.0,2082.0,2505.0,2975.0,3486.0,4199.0,4899.0,5690.0,6552.0,7591.0,9591.0,12100,15054,18313,21833,26634,32541,42123,69851,103656,137458,171286,205114,238941,272769,306597,340424
北海市,4.0,5.0,6.0,7.0,9.0,10.0,12.0,13.0,15.0,18.0,22.0,25.0,32.0,38.0,46.0,62,81,104,144,202,352,608,796,947,1098,1249,1401,1552,1703,1854,2005
十堰市,5.0,8.0,11.0,13.0,18.0,22.0,23.0,28.0,37.0,43.0,48.0,59.0,68.0,80.0,115.0,140,188,230,291,373,467,827,1164,1593,2013,2436,2859,3282,3705,4128,4551
南京市,103.0,143.0,190.0,250.0,319.0,386.0,468.0,556.0,660.0,777.0,951.0,1153.0,1349.0,1589.0,2030.0,2538,3223,4161,5412,7181,13865,21164,25945,32418,38793,45182,51571,57959,64348,70737,77125
南充市,2.0,6.0,10.0,12.0,12.0,12.0,13.0,15.0,17.0,24.0,27.0,33.0,42.0,52.0,69.0,96,140,173,227,341,495,716,974,1229,1484,1739,1994,2249,2504,2759,3014
南宁市,30.0,45.0,55.0,69.0,93.0,122.0,153.0,198.0,243.0,302.0,377.0,476.0,588.0,751.0,1039.0,1378,1800,2235,2778,3505,5324,8467,11833,14507,17193,19875,22557,25239,27921,30603,33285
南平市,1.0,1.0,3.0,3.0,7.0,7.0,8.0,9.0,12.0,15.0,19.0,27.0,34.0,46.0,62.0,80,103,136,173,216,330,507,709,957,1205,1453,1701,1949,2197,2445,2693
南昌市,28.0,30.0,42.0,52.0,64.0,75.0,91.0,116.0,134.0,167.0,208.0,256.0,315.0,388.0,524.0,688,904,1132,1442,1837,3145,5051,7147,8843,10539,12235,13931,15627,17323,19019,20715
南通市,13.0,15.0,21.0,31.0,41.0,53.0,62.0,75.0,85.0,103.0,140.0,169.0,193.0,222.0,284.0,354,441,566,736,940,1926,3054,4128,5549,6965,8382,9799,11216,12634,14051,15468
南阳市,2.0,3.0,4.0,7.0,12.0,17.0,18.0,24.0,27.0,28.0,37.0,46.0,55.0,69.0,105.0,158,219,284,381,498,710,1279,1847,2686,3522,4359,5195,6032,6869,7706,8543
厦门市,108.0,135.0,170.0,213.0,260.0,316.0,410.0,494.0,590.0,711.0,896.0,1103.0,1323.0,1639.0,2222.0,3031,3844,4781,5835,7123,10951,16970,21657,25874,30092,34307,38523,42739,46954,51170,55386
双鸭山市,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,4,6,7,10,12,19,29,52,95,138,181,224,267,310,353,396
台州市,14.0,18.0,22.0,25.0,32.0,35.0,42.0,47.0,51.0,54.0,71.0,86.0,98.0,123.0,164.0,201,257,322,438,578,1283,1947,2472,3095,3705,4316,4927,5538,6149,6759,7370
合肥市,41.0,54.0,70.0,92.0,122.0,162.0,201.0,251.0,304.0,386.0,472.0,595.0,727.0,918.0,1298.0,1695,2291,3107,4190,5808,8461,14657,20324,26012,31698,37383,43069,48755,54440,60126,65811
吉安市,2.0,2.0,2.0,2.0,2.0,3.0,6.0,6.0,6.0,12.0,15.0,25.0,31.0,40.0,56.0,78,109,144,185,264,605,963,1289,1650,2011,2372,2733,3094,3455,3816,4177
吉林市,7.0,9.0,11.0,12.0,16.0,19.0,25.0,29.0,31.0,37.0,49.0,56.0,69.0,87.0,103.0,125,174,221,278,329,397,619,822,1066,1307,1548,1790,2032,2273,2515,2757
吕梁市,,1.0,1.0,1.0,2.0,3.0,5.0,5.0,5.0,6.0,9.0,12.0,16.0,18.0,29.0,42,52,78,98,119,166,349,510,653,796,939,1082,1225,1368,1511,1654
吴忠市,,,1.0,1.0,2.0,2.0,3.0,5.0,5.0,5.0,7.0,7.0,10.0,11.0,16.0,26,34,49,60,75,107,169,248,299,350,401,452,503,554,605,656
周口市,,1.0,3.0,3.0,3.0,3.0,3.0,3.0,6.0,6.0,9.0,10.0,12.0,21.0,42.0,64,101,122,177,234,370,769,1122,1662,2182,2709,3236,3762,4289,4816,5342
呼伦贝尔市,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,7.0,10.0,15.0,15.0,16.0,22.0,36,46,60,80,101,128,212,323,427,531,635,739,843,947,1051,1155
呼和浩特市,11.0,15.0,20.0,25.0,35.0,43.0,54.0,63.0,75.0,91.0,100.0,118.0,147.0,181.0,281.0,382,501,656,801,984,1251,1965,2892,3929,4966,6003,7040,8077,9113,10150,11187
咸宁市,1.0,1.0,2.0,2.0,3.0,5.0,5.0,8.0,9.0,12.0,15.0,23.0,28.0,30.0,48.0,64,87,114,152,191,247,505,754,1074,1390,1708,2025,2343,2660,2977,3295
咸阳市,6.0,7.0,8.0,10.0,13.0,13.0,16.0,18.0,24.0,29.0,39.0,46.0,52.0,62.0,93.0,122,164,233,312,419,664,1033,1803,4524,7218,9921,12625,15328,18032,20735,23439
哈尔滨市,40.0,46.0,55.0,66.0,79.0,91.0,99.0,122.0,142.0,167.0,204.0,239.0,276.0,331.0,433.0,550,697,891,1140,1541,2336,3512,4903,6398,7893,9388,10883,12378,13873,15368,16863
唐山市,8.0,12.0,15.0,22.0,28.0,32.0,36.0,45.0,55.0,69.0,80.0,92.0,108.0,123.0,164.0,211,267,329,422,562,701,876,1213,1855,2493,3133,3773,4412,5052,5692,6332
商丘市,,,1.0,1.0,1.0,1.0,2.0,3.0,4.0,8.0,11.0,12.0,18.0,21.0,30.0,39,55,72,112,157,247,568,844,1246,1631,2022,2412,2803,3194,3584,3975
商洛市,,,,,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,6.0,13,19,29,36,48,91,146,201,275,349,423,497,571,645,719,793
嘉兴市,26.0,31.0,39.0,46.0,50.0,58.0,73.0,86.0,98.0,120.0,142.0,178.0,205.0,253.0,327.0,422,549,751,955,1264,2341,3369,4253,5134,6015,6896,7777,8658,9539,10420,11301
嘉峪关市,,,,,,,,,,1.0,2.0,6.0,8.0,10.0,15.0,21,31,48,56,70,88,127,167,219,271,323,374,426,478,530,582
四平市,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,5.0,6.0,6.0,7.0,7.0,12.0,17.0,22,32,37,50,63,88,140,209,261,313,365,417,469,521,573,625
固原市,1.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,6.0,6.0,7.0,8.0,10.0,12.0,18.0,29,43,55,66,86,113,167,227,279,331,383,435,487,539,591,643
大同市,4.0,5.0,6.0,6.0,6.0,6.0,7.0,8.0,10.0,10.0,15.0,17.0,21.0,25.0,35.0,42,52,72,98,146,208,379,557,714,871,1028,1185,1342,1499,1656,1813
大庆市,6.0,8.0,9.0,11.0,13.0,15.0,18.0,24.0,28.0,35.0,42.0,49.0,54.0,61.0,77.0,98,126,161,204,266,324,454,676,946,1215,1485,1755,2025,2295,2564,2834
大连市,26.0,33.0,45.0,63.0,83.0,105.0,124.0,154.0,196.0,239.0,294.0,350.0,414.0,491.0,617.0,778,981,1214,1526,1938,3012,4733,6434,8033,9634,11233,12833,14433,16033,17633,19233
天水市,2.0,2.0,2.0,4.0,5.0,9.0,9.0,9.0,11.0,15.0,18.0,21.0,30.0,37.0,46.0,60,78,95,117,140,176,271,387,502,617,732,847,962,1077,1192,1307
天津市,101.0,136.0,173.0,215.0,268.0,315.0,387.0,459.0,540.0,654.0,765.0,929.0,1095.0,1343.0,1779.0,2365,3085,4045,5243,6838,12162,16934,21438,26876,32113,37397,42681,47965,53249,58532,63816
太原市,41.0,46.0,57.0,77.0,91.0,115.0,133.0,162.0,192.0,221.0,268.0,316.0,392.0,468.0,589.0,757,963,1220,1533,2124,2999,5411,7746,10171,12595,15019,17443,19867,22291,24715,27139
威海市,7.0,9.0,10.0,14.0,19.0,19.0,23.0,30.0,33.0,43.0,53.0,64.0,84.0,105.0,149.0,194,264,344,450,597,917,1600,2112,2680,3246,3812,4378,4945,5511,6077,6643
娄底市,1.0,1.0,3.0,6.0,7.0,10.0,12.0,14.0,16.0,18.0,24.0,29.0,31.0,38.0,46.0,52,69,98,131,165,212,288,520,751,982,1213,1444,1675,1907,2138,2369
孝感市,5.0,5.0,5.0,6.0,6.0,6.0,6.0,7.0,11.0,15.0,21.0,26.0,34.0,44.0,54.0,64,89,118,156,205,250,453,635,876,1108,1343,1578,1813,2049,2284,2519
宁德市,6.0,7.0,8.0,8.0,10.0,12.0,15.0,16.0,19.0,25.0,37.0,59.0,86.0,115.0,154.0,206,265,327,525,742,1041,1365,1718,2205,2692,3179,3666,4153,4640,5127,5614
宁波市,47.0,67.0,86.0,106.0,129.0,152.0,191.0,224.0,261.0,306.0,373.0,461.0,556.0,659.0,856.0,1077,1388,1801,2405,3167,6036,8614,10942,13109,15288,17463,19637,21812,23986,26161,28335
安庆市,4.0,5.0,7.0,9.0,11.0,12.0,15.0,18.0,20.0,26.0,29.0,37.0,42.0,52.0,73.0,81,100,141,204,303,431,731,1097,1549,1998,2448,2898,3348,3799,4249,4699
安康市,3.0,3.0,4.0,6.0,7.0,8.0,11.0,12.0,13.0,13.0,16.0,20.0,24.0,29.0,46.0,64,96,116,141,175,256,416,535,697,853,1011,1169,1326,1484,1642,1800
安阳市,4.0,4.0,7.0,7.0,10.0,9.0,9.0,10.0,12.0,15.0,20.0,25.0,32.0,39.0,55.0,81,108,139,189,233,341,742,1126,1588,2048,2509,2969,3430,3891,4351,4812
安顺市,,,,,,,,,,,1.0,1.0,1.0,5.0,14.0,24,36,50,69,86,107,210,392,551,710,869,1028,1187,1346,1505,1664
定西市,1.0,2.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,7.0,9.0,16.0,22.0,29,42,56,73,97,118,204,302,431,560,689,818,947,1076,1205,1334
宜宾市,4.0,5.0,6.0,8.0,10.0,12.0,15.0,18.0,19.0,26.0,29.0,32.0,38.0,51.0,64.0,85,110,144,217,310,468,717,983,1340,1696,2052,2409,2765,3121,3478,3834
宜昌市,4.0,5.0,9.0,15.0,21.0,26.0,35.0,43.0,57.0,74.0,90.0,102.0,119.0,139.0,185.0,223,292,384,493,609,753,1192,1683,2632,3576,4521,5467,6412,7358,8303,9249
宜春市,2.0,5.0,5.0,8.0,12.0,13.0,16.0,17.0,22.0,26.0,29.0,33.0,43.0,51.0,79.0,110,150,189,250,349,746,1242,1807,2245,2685,3125,3564,4004,4444,4883,5323
宝鸡市,7.0,7.0,9.0,12.0,12.0,17.0,21.0,27.0,31.0,37.0,47.0,58.0,68.0,83.0,114.0,161,229,315,407,570,762,1023,2196,3238,4308,5377,6445,7514,8583,9651,10720
宣城市,1.0,1.0,1.0,1.0,2.0,2.0,5.0,6.0,6.0,12.0,12.0,13.0,15.0,19.0,31.0,36,47,65,89,125,174,340,480,694,895,1100,1305,1510,1715,1920,2125
宿州市,,1.0,2.0,5.0,6.0,6.0,6.0,6.0,11.0,12.0,17.0,19.0,25.0,28.0,35.0,48,60,94,144,220,301,672,1047,1584,2109,2639,3168,3697,4227,4756,5286
宿迁市,2.0,4.0,5.0,5.0,7.0,7.0,10.0,12.0,17.0,28.0,37.0,50.0,60.0,82.0,130.0,173,220,286,357,478,1044,1697,2097,2741,3341,3946,4551,5156,5761,6366,6972
岳阳市,7.0,7.0,9.0,11.0,12.0,13.0,15.0,18.0,20.0,23.0,25.0,29.0,34.0,41.0,56.0,70,89,110,141,201,284,464,773,1111,1449,1788,2126,2464,2803,3141,3479
崇左市,2.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,6.0,6.0,7.0,11.0,13,20,32,46,62,113,151,225,271,328,384,439,494,549,604,660
巴中市,,,1.0,1.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,7.0,8.0,13.0,22.0,26,37,50,75,94,131,210,303,389,475,561,647,733,819,905,991
巴彦淖尔市,,,,,2.0,2.0,3.0,3.0,3.0,3.0,4.0,5.0,9.0,11.0,19.0,29,41,47,60,77,97,158,234,319,404,489,574,659,744,829,914
