城市,2024,2025,2026,2027,2028,2029,2030
七台河市,114,136,158,180,202,224,246
三亚市,16197,19792,23387,26982,30577,34172,37767
三明市,1773,2087,2401,2715,3029,3343,3657
三门峡市,694,831,968,1105,1242,1379,1516
上海市,92412,112773,133133,153494,173854,194215,214575
上饶市,2890,3483,4076,4669,5262,5855,6448
东莞市,13994,16679,19363,22048,24732,27417,30101
东营市,3225,3785,4345,4905,5465,6025,6585
中卫市,234,270,306,342,378,414,450
中山市,6034,7175,8315,9456,10597,11737,12878
临汾市,1338,1602,1866,2130,2394,2659,2923
临沂市,9719,11292,12865,14438,16012,17585,19158
临沧市,310,381,452,523,594,665,736
丹东市,552,634,716,798,880,962,1044
丽水市,1773,2062,2350,2639,2928,3217,3506
丽江市,370,456,542,628,714,800,886
乌兰察布市,488,601,714,827,940,1053,1166
乌海市,269,331,393,456,518,580,642
乌鲁木齐市,8336,10016,11696,13376,15056,16736,18416
乐山市,604,743,882,1021,1160,1299,1438
九江市,4987,5945,6902,7860,8817,9775,10733
云浮市,352,419,487,554,622,689,757
亳州市,1328,1566,1804,2041,2279,2517,2755
伊春市,113,140,167,194,221,248,275
佛山市,14387,17161,19935,22709,25483,28257,31031
佳木斯市,482,615,748,881,1014,1147,1280
保定市,5065,6676,8287,9898,11509,13121,14732
保山市,392,500,608,716,824,932,1040
信阳市,1625,1948,2271,2594,2917,3241,3564
儋州市,3216,3760,4305,4850,5394,5939,6484
克拉玛依市,339,395,451,507,563,619,675
六安市,2369,2891,3413,3936,4458,4980,5502
六盘水市,944,1191,1438,1685,1932,2179,2426
兰州市,7483,9044,10605,12166,13727,15288,16849
内江市,566,677,788,899,1010,1121,1232
包头市,1770,2115,2460,2805,3150,3495,3840
北京市,137458,171286,205114,238941,272769,306597,340424
北海市,1098,1249,1401,1552,1703,1854,2005
十堰市,2013,2436,2859,3282,3705,4128,4551
南京市,38793,45182,51571,57959,64348,70737,77125
南充市,1484,1739,1994,2249,2504,2759,3014
南宁市,17193,19875,22557,25239,27921,30603,33285
南平市,1205,1453,1701,1949,2197,2445,2693
南昌市,10539,12235,13931,15627,17323,19019,20715
南通市,6965,8382,9799,11216,12634,14051,15468
南阳市,3522,4359,5195,6032,6869,7706,8543
厦门市,30092,34307,38523,42739,46954,51170,55386
双鸭山市,138,181,224,267,310,353,396
台州市,3705,4316,4927,5538,6149,6759,7370
合肥市,31698,37383,43069,48755,54440,60126,65811
吉安市,2011,2372,2733,3094,3455,3816,4177
吉林市,1307,1548,1790,2032,2273,2515,2757
吕梁市,796,939,1082,1225,1368,1511,1654
吴忠市,350,401,452,503,554,605,656
周口市,2182,2709,3236,3762,4289,4816,5342
呼伦贝尔市,531,635,739,843,947,1051,1155
呼和浩特市,4966,6003,7040,8077,9113,10150,11187
咸宁市,1390,1708,2025,2343,2660,2977,3295
咸阳市,7218,9921,12625,15328,18032,20735,23439
哈尔滨市,7893,9388,10883,12378,13873,15368,16863
唐山市,2493,3133,3773,4412,5052,5692,6332
商丘市,1631,2022,2412,2803,3194,3584,3975
商洛市,349,423,497,571,645,719,793
嘉兴市,6015,6896,7777,8658,9539,10420,11301
嘉峪关市,271,323,374,426,478,530,582
四平市,313,365,417,469,521,573,625
固原市,331,383,435,487,539,591,643
大同市,871,1028,1185,1342,1499,1656,1813
大庆市,1215,1485,1755,2025,2295,2564,2834
大连市,9634,11233,12833,14433,16033,17633,19233
天水市,617,732,847,962,1077,1192,1307
天津市,32113,37397,42681,47965,53249,58532,63816
太原市,12595,15019,17443,19867,22291,24715,27139
威海市,3246,3812,4378,4945,5511,6077,6643
娄底市,982,1213,1444,1675,1907,2138,2369
孝感市,1108,1343,1578,1813,2049,2284,2519
宁德市,2692,3179,3666,4153,4640,5127,5614
宁波市,15288,17463,19637,21812,23986,26161,28335
安庆市,1998,2448,2898,3348,3799,4249,4699
安康市,853,1011,1169,1326,1484,1642,1800
安阳市,2048,2509,2969,3430,3891,4351,4812
安顺市,710,869,1028,1187,1346,1505,1664
定西市,560,689,818,947,1076,1205,1334
宜宾市,1696,2052,2409,2765,3121,3478,3834
宜昌市,3576,4521,5467,6412,7358,8303,9249
宜春市,2685,3125,3564,4004,4444,4883,5323
宝鸡市,4308,5377,6445,7514,8583,9651,10720
宣城市,895,1100,1305,1510,1715,1920,2125
宿州市,2109,2639,3168,3697,4227,4756,5286
宿迁市,3341,3946,4551,5156,5761,6366,6972
岳阳市,1449,1788,2126,2464,2803,3141,3479
崇左市,328,384,439,494,549,604,660
巴中市,475,561,647,733,819,905,991
巴彦淖尔市,404,489,574,659,744,829,914
常州市,6935,8168,9401,10633,11866,13099,14332
常德市,786,975,1164,1353,1542,1731,1920
平凉市,575,688,801,914,1027,1139,1252
平顶山市,1427,1763,2098,2433,2769,3104,3439
广元市,593,692,791,890,989,1088,1187
广安市,570,665,760,855,950,1045,1140
广州市,101538,117820,134102,150384,166666,182948,199230
庆阳市,980,1205,1430,1655,1880,2105,2330
廊坊市,2685,3520,4355,5190,6025,6860,7695
延安市,1038,1239,1439,1640,1840,2041,2241
开封市,1742,2122,2502,2882,3262,3642,4022
张家口市,1608,2105,2601,3098,3595,4091,4588
张家界市,392,488,584,680,776,872,968
张掖市,697,847,997,1147,1297,1447,1597
徐州市,9174,10764,12354,13944,15534,17124,18714
德州市,3538,4197,4857,5516,6176,6836,7495
德阳市,1166,1376,1586,1796,2006,2216,2426
忻州市,596,716,836,956,1076,1196,1316
怀化市,849,1068,1287,1506,1725,1944,2163
惠州市,7657,9056,10455,11854,13253,14652,16051
成都市,60024,73782,87541,101300,115059,128818,142577
扬州市,4356,5035,5714,6393,7072,7751,8430
承德市,755,986,1217,1448,1679,1910,2141
抚州市,1576,1872,2168,2464,2760,3056,3352
抚顺市,812,920,1028,1136,1244,1352,1460
揭阳市,695,847,1000,1153,1305,1458,1610
攀枝花市,411,474,538,601,664,727,790
新乡市,2238,2671,3103,3536,3968,4401,4833
新余市,879,1048,1217,1386,1555,1724,1893
无锡市,11518,13524,15530,17536,19542,21548,23554
日照市,3083,3645,4207,4769,5331,5893,6455
昆明市,21303,28256,35210,42163,49117,56070,63024
昭通市,617,761,905,1049,1193,1337,1481
晋中市,1272,1509,1746,1983,2220,2457,2694
晋城市,1174,1420,1666,1912,2158,2404,2650
普洱市,393,500,607,714,821,928,1035
景德镇市,617,738,859,980,1101,1222,1343
曲靖市,1190,1497,1805,2113,2421,2729,3037
朔州市,505,625,745,865,985,1105,1225
朝阳市,760,873,986,1099,1212,1325,1438
本溪市,255,290,325,360,395,430,465
来宾市,360,421,482,543,604,665,726
杭州市,57083,66839,76595,86350,96106,105862,115618
松原市,477,561,645,729,813,897,981
枣庄市,3403,4026,4649,5273,5896,6519,7142
柳州市,2612,2959,3306,3653,4000,4347,4693
株洲市,2079,2590,3101,3613,4124,4635,5146
桂林市,2146,2471,2795,3120,3444,3769,4094
梅州市,1165,1394,1623,1852,2081,2310,2539
梧州市,617,686,755,824,893,962,1031
榆林市,2881,3476,4071,4666,5261,5856,6451
武威市,456,546,636,725,815,905,995
武汉市,42958,52852,62747,72641,82536,92431,102325
毕节市,1101,1410,1718,2027,2335,2644,2952
永州市,906,1131,1357,1582,1807,2033,2258
汉中市,1158,1379,1600,1821,2042,2263,2484
汕头市,1685,1993,2301,2609,2917,3225,3533
汕尾市,647,776,905,1034,1163,1292,1421
江门市,1968,2369,2770,3171,3572,3973,4374
池州市,521,624,727,830,933,1036,1139
沈阳市,15220,17970,20720,23471,26221,28971,31722
沧州市,1114,1437,1759,2082,2405,2727,3050
河池市,465,542,619,696,773,850,927
河源市,1129,1291,1453,1615,1777,1939,2101
泉州市,9516,11431,13346,15261,17177,19092,21007
泰安市,4778,5743,6708,7672,8637,9602,10566
泰州市,2979,3516,4053,4590,5127,5664,6201
泸州市,1300,1524,1748,1972,2196,2420,2644
洛阳市,4521,5415,6310,7204,8098,8992,9886
济南市,34086,39918,45750,51582,57414,63246,69078
济宁市,6337,7455,8573,9691,10809,11927,13045
海东市,233,257,281,305,329,353,377
海口市,40713,50072,59430,68789,78148,87506,96865
淄博市,4947,5805,6663,7521,8378,9236,10094
淮北市,928,1122,1316,1510,1704,1898,2092
淮南市,1126,1404,1683,1962,2240,2519,2798
淮安市,3341,4017,4694,5371,6047,6724,7400
深圳市,102633,123465,144296,165127,185958,206789,227620
清远市,765,934,1103,1272,1441,1610,1779
温州市,10163,11932,13701,15470,17239,19008,20777
渭南市,2075,2528,2981,3435,3888,4341,4795
湖州市,3802,4362,4921,5481,6040,6600,7159
湘潭市,885,1083,1281,1479,1677,1875,2072
湛江市,1923,2291,2660,3028,3396,3764,4133
滁州市,1752,2137,2523,2908,3293,3678,4064
滨州市,3958,4760,5563,6366,7168,7971,8774
漯河市,857,1045,1232,1420,1608,1795,1983
漳州市,4176,4912,5647,6383,7119,7854,8590
潍坊市,8908,10557,12207,13857,15506,17156,18805
潮州市,684,818,952,1086,1220,1354,1488
濮阳市,1233,1535,1837,2139,2441,2743,3044
烟台市,8665,10342,12018,13694,15371,17047,18724
焦作市,1102,1330,1558,1785,2013,2241,2468
牡丹江市,560,682,804,926,1048,1170,1292
玉林市,1333,1564,1795,2026,2257,2488,2719
玉溪市,487,620,753,886,1019,1152,1285
珠海市,9574,11023,12472,13921,15370,16820,18269
白城市,269,323,377,431,485,539,593
白山市,238,280,322,364,406,448,490
白银市,446,531,617,702,788,873,959
百色市,587,663,739,815,891,967,1043
益阳市,749,912,1075,1238,1401,1564,1727
盐城市,4075,4808,5540,6273,7006,7739,8471
盘锦市,569,657,745,833,921,1009,1097
眉山市,859,1023,1187,1351,1515,1679,1843
石嘴山市,225,252,280,308,335,363,391
石家庄市,5926,7581,9235,10890,12545,14200,15854
福州市,26986,31328,35670,40012,44355,48697,53039
秦皇岛市,899,1160,1422,1683,1945,2206,2468
绍兴市,4152,4772,5392,6012,6633,7253,7873
绥化市,443,555,667,779,891,1003,1115
绵阳市,3853,4622,5391,6160,6929,7698,8467
聊城市,3352,3852,4352,4851,5351,5851,6351
肇庆市,1395,1717,2039,2361,2683,3005,3327
自贡市,726,858,990,1122,1254,1385,1517
舟山市,997,1141,1284,1427,1571,1714,1857
芜湖市,6213,7543,8873,10203,11534,12864,14194
苏州市,36543,42494,48446,54397,60348,66300,72251
茂名市,1396,1678,1960,2242,2524,2806,3088
荆州市,1584,1983,2382,2781,3180,3579,3978
荆门市,976,1201,1425,1649,1874,2098,2323
莆田市,3669,4458,5247,6036,6824,7613,8402
菏泽市,4595,5537,6478,7420,8361,9302,10244
萍乡市,1158,1077,997,916,836,755,674
营口市,734,797,860,923,986,1049,1112
葫芦岛市,431,475,519,563,607,651,695
蚌埠市,1715,2120,2525,2930,3335,3739,4144
衡水市,1003,1295,1586,1877,2169,2460,2751
衡阳市,2454,3240,4026,4812,5598,6384,7170
衢州市,1469,1712,1955,2198,2441,2684,2927
襄阳市,3675,4652,5628,6604,7580,8556,9532
西宁市,3243,3745,4248,4750,5253,5756,6258
西安市,66173,77979,89786,101592,113399,125205,137012
许昌市,1622,1952,2282,2611,2941,3271,3600
贵港市,731,833,936,1038,1141,1243,1346
贵阳市,13725,16601,19477,22352,25228,28103,30979
贺州市,481,556,631,705,780,855,929
资阳市,397,475,552,630,707,785,863
赣州市,4988,5915,6843,7771,8699,9627,10554
赤峰市,1119,1369,1619,1869,2118,2368,2618
辽源市,133,157,180,204,227,250,274
辽阳市,292,324,356,388,420,452,484
达州市,764,918,1072,1226,1380,1534,1688
运城市,3176,3951,4725,5500,6275,7049,7824
连云港市,2733,3211,3689,4167,4645,5123,5602
通化市,304,356,408,460,512,564,616
通辽市,677,780,883,986,1089,1192,1295
遂宁市,584,695,806,917,1028,1139,1250
遵义市,2308,2913,3518,4123,4728,5333,5939
邢台市,1308,1749,2191,2632,3073,3515,3956
邯郸市,2213,2948,3683,4418,5153,5888,6623
邵阳市,1093,1393,1692,1991,2291,2590,2890
郑州市,29547,35250,40952,46655,52358,58060,63763
郴州市,1365,1704,2042,2380,2719,3057,3396
鄂尔多斯市,1896,2279,2661,3044,3426,3808,4191
鄂州市,553,671,789,908,1026,1144,1262
酒泉市,789,932,1075,1218,1361,1504,1647
重庆市,41827,48942,56057,63172,70287,77402,84517
金华市,7918,9095,10272,11450,12627,13804,14982
金昌市,210,243,276,309,342,375,408
钦州市,2921,3611,4300,4989,5678,6367,7056
铁岭市,325,376,426,477,528,579,630
铜仁市,800,982,1164,1346,1528,1710,1892
铜川市,382,451,520,589,658,727,796
铜陵市,690,878,1066,1254,1442,1630,1818
银川市,5138,5913,6689,7464,8240,9015,9791
锦州市,686,808,931,1053,1175,1298,1420
镇江市,2910,3380,3850,4320,4791,5261,5731
长春市,10155,12050,13945,15840,17735,19630,21525
长沙市,33003,40987,48972,56957,64941,72926,80910
长治市,1558,1870,2182,2494,2806,3118,3430
阜新市,377,446,515,584,653,722,791
阜阳市,3298,4107,4916,5725,6534,7343,8152
防城港市,424,507,590,673,756,839,922
阳江市,658,809,960,1111,1262,1413,1564
阳泉市,1065,1423,1782,2140,2498,2857,3215
陇南市,466,566,666,766,866,966,1066
随州市,600,711,821,932,1043,1154,1265
雅安市,352,423,494,565,636,707,778
青岛市,25521,29133,32745,36357,39968,43580,47192
鞍山市,845,929,1013,1097,1181,1265,1349
韶关市,1015,1192,1369,1546,1723,1900,2077
马鞍山市,1135,1299,1463,1627,1791,1955,2119
驻马店市,1268,1562,1857,2151,2446,2740,3035
鸡西市,195,230,265,300,335,370,405
鹤壁市,858,1029,1200,1371,1542,1712,1883
鹤岗市,166,206,245,285,324,363,403
鹰潭市,636,770,904,1038,1172,1306,1440
黄冈市,1728,2126,2524,2922,3320,3718,4116
黄山市,526,652,778,904,1030,1156,1282
黄石市,1226,1485,1743,2001,2259,2517,2776
黑河市,215,258,301,344,387,430,473
齐齐哈尔市,597,743,889,1035,1181,1327,1473
龙岩市,2866,3360,3854,4348,4842,5336,5830
